goal,target,indicator,seriesdescription,geoareacode,geoareaname,timeperiodstart,value
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),2,Africa,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),2,Africa,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),2,Africa,2021,4
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),2,Africa,2023,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),8,Albania,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),19,Americas,2019,5
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),19,Americas,2020,6
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),19,Americas,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),19,Americas,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),19,Americas,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),32,Argentina,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),142,Asia,2019,7
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),142,Asia,2020,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),142,Asia,2021,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),142,Asia,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),142,Asia,2023,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),36,Australia,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),53,Australia and New Zealand,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),52,Barbados,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),56,Belgium,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),64,Bhutan,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),100,Bulgaria,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),116,Cambodia,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),29,Caribbean,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),29,Caribbean,2020,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),13,Central America,2019,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),13,Central America,2020,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),13,Central America,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),62,Central and Southern Asia,2019,4
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),62,Central and Southern Asia,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),148,Chad,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),152,Chile,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),156,China,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),170,Colombia,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),188,Costa Rica,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),384,Côte d'Ivoire,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),191,Croatia,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),192,Cuba,2020,1
