Goal;Target;Indicator;SeriesCode;SeriesDescription;GeoAreaCode;GeoAreaName;Sex;Units;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);12;Algeria;BOTHSEX;PER_100000_EMP;27.28;23.24;20.88;19.03;17.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);32;Argentina;BOTHSEX;PER_100000_EMP;18.59;;15.21;15.22;15.01;14.28;14.91;14.07;;10.58;10.93;7.67;6.78;;4.74;4.85;4.22;4.37;3.72;3.43;3.09;3.15;3.33;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);32;Argentina;FEMALE;PER_100000_EMP;;;;;;;;;;;;0.56;0.45;;0.36;0.21;0.32;0.29;0.26;0.22;0.24;0.3;0.14;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);32;Argentina;MALE;PER_100000_EMP;;;;;;;;;;;;11.43;10.58;;7.68;7.59;6.55;6.53;5.49;5.46;5.03;5.36;5.43;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);32;Argentina;BOTHSEX;PER_100000_EMP;;;;;;;;;;;;;;;;;;4.52;3.91;3.44;1.49;1.79;2.54;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);32;Argentina;FEMALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;0;0;0.92;0.46;0;0;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);32;Argentina;MALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;6.47;5.66;5.63;1.82;5.02;5.02;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);32;Argentina;BOTHSEX;PER_100000_EMP;;;;;;;;;;;;;;;;;;4.12;3.45;3.24;3.03;3.25;3.21;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);32;Argentina;FEMALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;0.3;0.27;0.18;0.23;0.32;0.15;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);32;Argentina;MALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;6.54;5.48;5.45;5.49;5.37;5.44;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);51;Armenia;BOTHSEX;PER_100000_EMP;;;;;;;;;;;;;;1.87;;;;;13.64;4.38;4.19;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);51;Armenia;FEMALE;PER_100000_EMP;;;;;;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);51;Armenia;MALE;PER_100000_EMP;;;;;;;;;;;;;;3.13;;;;;20.92;6.66;6.53;;;;;;;;;;;;;;;;;;;
