ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
WORLD,World,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,6384.05,6236.2,6292.21,6256.02,6121.03,6192.91,6335.91,6472.36,6408.07,6380.23,6359.86,6131.81,5584.53,5595.9,5480.35,5205.72,4961.81,4541.82,4106.71,3919.28,3924.74,3902.09,3726.37,3882.77,3882.29,3856.74,3966.4,3738.82,3721.29,3771.5,3904.72,3981.72
WORLD,World,Climate Watch,Industrial Processes,All GHG,MtCO₂e,3260.35,3132.69,3070.7,2955.2,2863.31,2797.55,2699.83,2702.9,2588.77,2474.16,2390.39,2237.26,2099.3,2051.56,2006.9,1878.44,1746.61,1650.03,1568.35,1474.4,1422.09,1396.22,1336.92,1327.81,1323.34,1273.84,1222.18,1149.02,1040.48,1023.75,1008.33,1003.53
CHN,China,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2843.22,2863.83,2806.36,2802.77,2709.48,2874.15,3011.93,3111.27,3084.77,3059.17,3021.66,2860.19,2616.19,2423.8,2287.54,2095.76,1947.5,1506.94,1142.84,1002.49,964.39,909.38,877.04,1030.46,967.26,975.05,1077.01,909.46,867.33,813.27,784.09,750.24
CHN,China,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1273.86,1252.49,1213.39,1150.09,1128.59,1106.88,1075.58,1104.13,1058.98,1002.33,975.36,885.58,808.64,730.0,698.16,632.32,552.88,492.82,461.25,373.39,344.63,301.37,277.78,253.39,237.4,219.9,204.11,180.08,157.02,135.16,112.6,94.35
IND,India,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,568.16,509.16,556.86,572.66,562.6,530.64,509.5,506.42,474.58,436.67,448.03,402.81,359.88,312.61,299.49,264.23,236.27,211.69,201.65,210.9,197.16,195.1,190.57,185.33,175.81,159.45,159.05,166.74,156.74,158.77,155.29,151.06
USA,United States,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,449.19,440.81,442.6,457.69,432.7,442.31,437.19,440.62,438.24,441.92,439.1,469.9,410.85,478.52,489.98,500.01,481.14,515.45,488.96,494.17,543.77,571.3,503.35,515.15,509.03,488.03,488.95,536.95,534.52,520.0,569.29,606.9
EUU,European Union (27),Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,382.49,352.51,365.35,377.49,371.43,370.94,366.41,368.59,379.5,386.48,401.57,402.27,374.26,450.44,469.41,468.52,484.92,495.47,511.1,501.24,515.43,523.49,510.26,534.83,561.75,562.36,564.97,549.62,533.4,552.9,609.05,671.84
RUS,Russia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,287.74,273.4,281.55,251.42,262.89,260.58,250.73,247.72,224.46,226.93,184.24,178.65,166.45,172.62,171.22,152.86,155.12,153.5,152.04,159.92,158.17,165.88,142.77,134.15,149.56,162.34,185.12,143.53,175.18,200.69,216.59,251.95
USA,United States,Climate Watch,Industrial Processes,All GHG,MtCO₂e,250.3,243.52,238.67,231.67,227.96,222.02,221.22,219.36,209.35,210.15,217.0,204.59,190.55,208.91,221.72,208.39,204.42,199.03,191.49,202.07,192.09,208.7,206.14,209.71,198.51,197.28,187.54,165.51,160.57,157.31,154.31,164.71
JPN,Japan,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,182.44,172.72,187.8,195.18,196.06,195.5,202.15,209.93,216.34,215.6,219.38,212.79,200.87,212.78,232.9,236.01,235.34,233.41,234.35,237.54,235.23,240.64,236.07,232.91,255.97,263.08,263.69,258.65,256.04,257.55,262.09,263.57
IND,India,Climate Watch,Industrial Processes,All GHG,MtCO₂e,178.61,149.37,168.55,162.24,142.62,143.31,135.89,133.32,124.45,115.99,106.23,100.08,94.85,86.35,80.97,77.08,71.39,67.2,62.51,60.7,58.29,57.48,55.06,48.46,45.8,41.42,37.39,34.29,31.9,30.06,29.0,26.45
EUU,European Union (27),Climate Watch,Industrial Processes,All GHG,MtCO₂e,147.23,150.61,160.55,167.38,172.86,177.5,177.42,182.79,177.33,180.58,184.19,185.92,193.84,220.7,234.5,224.22,223.15,220.25,212.32,208.25,208.85,213.12,209.91,219.15,235.44,234.05,228.43,220.55,208.1,210.52,203.59,216.9
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,132.1,132.43,148.33,113.12,92.53,86.86,102.23,90.33,80.15,120.47,137.4,127.32,101.21,92.5,112.29,105.65,82.17,81.15,75.61,59.84,63.1,58.88,62.17,48.5,51.77,47.73,47.58,38.64,32.96,29.89,28.38,28.51
SAU,Saudi Arabia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,121.9,114.02,105.76,99.01,90.61,88.21,81.73,76.59,69.64,61.47,53.11,46.45,43.21,38.97,32.35,28.13,24.84,24.36,23.52,22.45,20.51,18.64,16.33,14.62,12.98,12.02,10.25,9.48,9.24,8.86,6.56,6.47
IRN,Iran,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,121.64,118.65,110.51,94.21,96.63,91.99,88.56,93.19,87.44,87.55,84.77,84.4,78.65,79.71,74.91,61.66,58.13,51.92,49.1,45.07,43.83,43.55,42.89,38.4,42.74,37.38,43.46,41.62,36.61,44.99,46.01,37.45
THA,Thailand,Climate Watch,Industrial Processes,All GHG,MtCO₂e,97.77,93.56,85.7,77.63,69.32,61.75,50.48,46.68,42.36,38.69,34.65,31.42,30.43,30.0,31.38,29.42,27.24,24.93,23.83,25.75,23.14,20.64,20.6,16.98,22.22,19.41,16.58,14.39,12.89,8.88,6.45,6.74
VNM,Vietnam,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,96.97,96.48,74.8,60.79,38.45,36.67,33.77,51.71,46.52,43.24,43.82,42.04,39.41,35.8,27.26,24.54,24.44,23.17,19.99,18.7,16.8,14.78,14.09,14.04,13.51,11.3,10.74,7.66,7.5,7.05,6.52,5.92
DEU,Germany,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,93.15,93.85,93.92,98.83,95.64,93.72,95.6,91.72,94.28,94.72,97.67,98.82,87.28,100.28,96.48,97.06,95.15,97.44,98.93,96.08,96.68,102.99,101.95,106.28,108.5,110.83,116.97,118.28,117.9,125.19,134.08,156.78
BRA,Brazil,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,92.28,82.53,88.36,91.93,95.12,88.98,98.49,102.38,105.38,106.76,110.58,101.89,87.18,97.26,97.17,87.93,87.52,88.84,85.95,86.69,83.72,85.81,78.28,73.47,71.37,67.44,61.8,57.89,55.84,53.51,52.69,49.41
KOR,South Korea,Climate Watch,Industrial Processes,All GHG,MtCO₂e,87.16,81.51,80.63,77.46,76.17,73.55,69.72,68.18,66.41,64.89,63.42,61.89,59.26,58.9,57.23,60.02,58.14,61.2,58.66,52.81,50.02,47.51,43.54,39.75,43.83,39.19,36.24,33.72,30.56,26.21,21.26,17.16
SAU,Saudi Arabia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,85.85,87.11,94.47,95.2,97.58,105.39,119.03,116.2,100.41,99.93,110.37,111.09,91.23,89.01,79.89,72.64,67.0,65.98,62.43,60.19,52.4,53.02,52.47,49.15,42.01,46.16,40.1,37.75,31.48,32.31,28.24,28.24
TUR,Türkiye,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,81.74,73.62,67.39,73.02,69.05,51.27,50.81,48.17,46.67,54.32,52.31,48.91,41.82,37.72,63.27,63.42,55.23,58.91,60.25,53.35,42.62,58.32,41.56,47.24,45.74,42.28,33.84,30.47,33.31,33.31,34.74,32.91
